id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
34870723,Guest suite in Seattle · ★4.94 · 1 bedroom · 3 beds · 1 bath,262897311,Chris,Other neighborhoods,Phinney Ridge,47.68118,-122.34808,Entire home/apt,138,2,32,2023-06-04,2.06,1,114,22,STR-OPLI-22-000081
48198505,Rental unit in Seattle · ★4.92 · 2 bedrooms · 3 beds · 1 bath,55710174,Allan,Other neighborhoods,Phinney Ridge,47.67369,-122.36053,Entire home/apt,80,30,12,2021-04-30,0.43,1,9,0,STR-OPLI-21-000126
50208067,Townhouse in Seattle · ★4.82 · 3 bedrooms · 4 beds · 3.5 baths,14677497,Mati,Central Area,Atlantic,47.59377,-122.30232,Entire home/apt,250,2,61,2023-06-12,2.70,1,328,22,STR-OPLI-21-000568
736110334813185182,Home in Seattle · ★4.71 · Studio · 1 bed · 1 private bath,19403115,Vince,Ballard,Whittier Heights,47.67838189354712,-122.37458587969444,Private room,119,1,24,2023-04-02,2.93,25,332,24,
51050888,Home in Seattle · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,158764973,Shiwen,Other neighborhoods,Wallingford,47.65361,-122.32978,Private room,67,1,116,2023-06-06,4.96,3,30,63,
54067023,Rental unit in Seattle · ★4.84 · 2 bedrooms · 2 beds · 2 baths,50721606,Evalyne,Queen Anne,Lower Queen Anne,47.62236,-122.36199,Entire home/apt,240,2,87,2023-06-02,5.11,2,70,66,STR-OPLI-22-000037
51647666,Rental unit in Seattle · 2 bedrooms · 2 beds · 1 bath,263502162,Landing,Beacon Hill,South Beacon Hill,47.53649,-122.29007,Entire home/apt,169,30,0,,,97,266,0,
4973204,Townhouse in Seattle · ★4.97 · 2 bedrooms · 2 beds · 1 bath,25636571,Ben,Queen Anne,Lower Queen Anne,47.62733,-122.35541,Entire home/apt,207,3,137,2023-05-28,1.36,1,117,23,STR-OPLI-19-002892
829689239107970381,Home in Seattle · 1 bedroom · 1 bed · 3 shared baths,56004960,Andrew,University District,University District,47.66704920102241,-122.31695587193768,Private room,53,30,0,,,11,275,0,
30426117,Guest suite in Seattle · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,56004960,Andrew,Other neighborhoods,Wallingford,47.66575,-122.33411,Private room,67,30,59,2023-05-01,1.07,11,131,4,
44416682,Home in Seattle · 1 bedroom · 1 bed · 1 bath,190507384,Cherry,Capitol Hill,Stevens,47.62836,-122.30038,Entire home/apt,110,30,0,,,51,365,0,STR-OPLI-19-000275
903968280567856812,Rental unit in Seattle · ★New · 1 bedroom · 1 bed · 1 bath,71845270,Michael,University District,University District,47.66451924619296,-122.31477361637577,Private room,80,30,0,,,1,296,0,
5969069,Home in Seattle · ★4.98 · 2 bedrooms · 2 beds · 1 bath,13240442,Adam,Capitol Hill,Stevens,47.62453,-122.30405,Entire home/apt,245,4,49,2023-03-30,0.49,2,269,4,STR-OPLI-19-000293
52032005,Home in Seattle · ★4.91 · 2 bedrooms · 2 beds · 2 baths,11377707,Jason,Other neighborhoods,Fremont,47.65395,-122.35418,Entire home/apt,189,3,56,2023-06-03,2.73,4,119,33,STR-OPLI-21-000139
894883464465046693,Home in Seattle · ★New · 2 bedrooms · 2 beds · 1.5 baths,6000132,Dominic,Other neighborhoods,Ravenna,47.67718,-122.29998,Entire home/apt,153,3,2,2023-06-18,2,1,17,2,STR-OPLI-23-000674
49907715,Townhouse in Seattle · ★4.97 · 1 bedroom · 1 bed · 1 private bath,163261952,Viet,Beacon Hill,North Beacon Hill,47.58824,-122.30728,Private room,92,1,96,2023-06-08,3.80,2,37,39,
